week_start,site_id,equipment_types,quantity_items
2024-02-12,S006,Excavator,Excavator_1
2024-02-12,S007,Bulldozer|Loader|Roller,Bulldozer_1|Loader_1|Roller_1
2024-02-12,S008,Bulldozer|Grader|Roller,Bulldozer_3_units|Grader_1|Roller_1
2024-02-12,S009,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Roller_1
2024-02-12,S010,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Loader_1|Roller_1
2024-02-19,S001,Excavator|Loader|Roller,Excavator_2_units|Loader_1|Roller_1
2024-02-19,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_2_units|Crane_2_units|Loader_2_units|Roller_1
2024-02-19,S003,Bulldozer|Grader|Loader,Bulldozer_1|Grader_1|Loader_1
2024-02-19,S004,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_1|Grader_1|Loader_1|Roller_2_units
2024-02-19,S005,Bulldozer|Excavator|Grader|Roller,Bulldozer_2_units|Excavator_1|Grader_1|Roller_1
2024-02-19,S006,Bulldozer|Excavator,Bulldozer_3_units|Excavator_2_units
2024-02-19,S007,Loader,Loader_1
2024-02-19,S008,Bulldozer|Grader|Loader|Roller,Bulldozer_3_units|Grader_1|Loader_1|Roller_2_units
2024-02-19,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-02-19,S010,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_2_units|Loader_1|Roller_1
2024-02-26,S001,Excavator|Loader|Roller,Excavator_2_units|Loader_1|Roller_1
2024-02-26,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_1|Crane_2_units|Loader_2_units|Roller_1
2024-02-26,S003,Bulldozer,Bulldozer_1
2024-02-26,S004,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_1|Grader_2_units|Loader_1|Roller_2_units
2024-02-26,S005,Bulldozer|Crane|Excavator|Grader|Roller,Bulldozer_2_units|Crane_1|Excavator_1|Grader_1|Roller_1
2024-02-26,S006,Bulldozer|Excavator|Grader,Bulldozer_3_units|Excavator_3_units|Grader_1
2024-02-26,S007,Loader|Roller,Loader_1|Roller_1
2024-02-26,S008,Bulldozer|Grader|Loader|Roller,Bulldozer_2_units|Grader_1|Loader_1|Roller_2_units
2024-02-26,S009,Bulldozer|Crane|Loader|Roller,Bulldozer_2_units|Crane_3_units|Loader_1|Roller_1
2024-02-26,S010,Bulldozer|Excavator|Grader|Loader,Bulldozer_1|Excavator_1|Grader_2_units|Loader_1
2024-03-04,S001,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_1|Crane_1|Excavator_2_units|Loader_1|Roller_1
2024-03-04,S002,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_2_units|Roller_1
2024-03-04,S003,Bulldozer|Excavator,Bulldozer_1|Excavator_1
2024-03-04,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_2_units|Excavator_1|Grader_2_units|Roller_1
2024-03-04,S005,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-03-04,S006,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_3_units|Grader_1|Roller_2_units
2024-03-04,S007,Loader|Roller,Loader_1|Roller_1
2024-03-04,S008,Bulldozer|Crane|Grader|Roller,Bulldozer_1|Crane_1|Grader_1|Roller_1
2024-03-04,S009,Bulldozer|Crane|Grader|Roller,Bulldozer_2_units|Crane_3_units|Grader_1|Roller_1
2024-03-04,S010,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_1|Grader_2_units
2024-03-11,S001,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_1|Excavator_2_units|Loader_1
2024-03-11,S002,Bulldozer|Crane|Excavator|Grader|Loader,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_1
2024-03-11,S003,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_1|Grader_1
2024-03-11,S004,Bulldozer|Grader|Roller,Bulldozer_2_units|Grader_1|Roller_1
2024-03-11,S005,Bulldozer|Excavator|Grader|Loader,Bulldozer_1|Excavator_1|Grader_1|Loader_1
2024-03-11,S006,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_3_units|Roller_2_units
2024-03-11,S007,Loader,Loader_1
2024-03-11,S008,Bulldozer|Crane|Grader|Roller,Bulldozer_1|Crane_1|Grader_3_units|Roller_1
2024-03-11,S009,Grader|Loader|Roller,Grader_1|Loader_2_units|Roller_1
2024-03-11,S010,Bulldozer|Grader|Loader|Roller,Bulldozer_1|Grader_2_units|Loader_1|Roller_1
2024-03-18,S001,Bulldozer|Crane|Grader|Loader,Bulldozer_1|Crane_1|Grader_1|Loader_1
2024-03-18,S002,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-03-18,S003,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-03-18,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Roller_1
2024-03-18,S005,Bulldozer|Crane|Excavator,Bulldozer_1|Crane_1|Excavator_1
2024-03-18,S006,Excavator|Grader,Excavator_2_units|Grader_1
2024-03-18,S007,Crane|Excavator|Loader,Crane_1|Excavator_1|Loader_1
2024-03-18,S008,Grader|Roller,Grader_3_units|Roller_1
2024-03-18,S009,Grader|Loader|Roller,Grader_1|Loader_2_units|Roller_1
2024-03-18,S010,Loader|Roller,Loader_1|Roller_1
2024-03-25,S001,Grader|Loader,Grader_1|Loader_1
2024-03-25,S002,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Loader_1|Roller_1
2024-03-25,S003,Bulldozer|Excavator|Loader|Roller,Bulldozer_1|Excavator_1|Loader_1|Roller_1
2024-03-25,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Roller_1
2024-03-25,S005,Bulldozer|Crane|Excavator|Grader,Bulldozer_2_units|Crane_1|Excavator_1|Grader_1
2024-03-25,S006,Excavator|Grader|Loader,Excavator_2_units|Grader_1|Loader_1
2024-03-25,S007,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_1|Excavator_2_units|Loader_3_units
2024-03-25,S008,Grader|Roller,Grader_3_units|Roller_1
2024-03-25,S009,Loader|Roller,Loader_2_units|Roller_1
2024-03-25,S010,,
2024-04-01,S001,Excavator,Excavator_1
2024-04-01,S002,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_2_units|Excavator_1|Loader_1
2024-04-01,S003,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_2_units|Grader_1
2024-04-01,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_1|Grader_1|Roller_1
2024-04-01,S005,Bulldozer|Excavator|Grader|Roller,Bulldozer_2_units|Excavator_1|Grader_1|Roller_1
2024-04-01,S006,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_3_units|Excavator_2_units|Loader_2_units
2024-04-01,S007,Bulldozer|Excavator|Loader,Bulldozer_1|Excavator_2_units|Loader_3_units
2024-04-01,S008,Grader,Grader_1
2024-04-01,S009,Loader,Loader_1
2024-04-01,S010,,
2024-04-08,S001,Excavator|Roller,Excavator_2_units|Roller_1
2024-04-08,S002,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_2_units|Excavator_1|Loader_1
2024-04-08,S003,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_2_units|Grader_1
2024-04-08,S004,Bulldozer|Crane|Excavator|Grader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Roller_1
2024-04-08,S005,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-04-08,S006,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_1|Crane_3_units|Excavator_2_units|Loader_2_units|Roller_1
2024-04-08,S007,Excavator|Grader|Loader,Excavator_1|Grader_1|Loader_1
2024-04-08,S008,Crane|Loader,Crane_1|Loader_1
2024-04-08,S009,Bulldozer,Bulldozer_1
2024-04-08,S010,Bulldozer,Bulldozer_1
2024-04-15,S001,Excavator|Roller,Excavator_2_units|Roller_1
2024-04-15,S002,Bulldozer|Crane|Excavator|Grader|Loader,Bulldozer_1|Crane_2_units|Excavator_1|Grader_1|Loader_1
2024-04-15,S003,Bulldozer|Excavator,Bulldozer_1|Excavator_3_units
2024-04-15,S004,Crane|Excavator|Grader|Roller,Crane_1|Excavator_2_units|Grader_1|Roller_1
2024-04-15,S005,Excavator,Excavator_1
2024-04-15,S006,Excavator|Grader|Loader|Roller,Excavator_1|Grader_1|Loader_1|Roller_1
2024-04-15,S007,Excavator|Grader|Loader,Excavator_1|Grader_1|Loader_1
2024-04-15,S008,Crane|Loader,Crane_1|Loader_1
2024-04-15,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-04-15,S010,Bulldozer,Bulldozer_1
2024-04-22,S001,Excavator,Excavator_1
2024-04-22,S002,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_2_units|Excavator_1|Grader_1|Loader_1|Roller_1
2024-04-22,S003,Bulldozer|Excavator,Bulldozer_1|Excavator_3_units
2024-04-22,S004,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_2_units|Roller_1
2024-04-22,S005,Excavator,Excavator_1
2024-04-22,S006,Excavator|Grader|Loader,Excavator_2_units|Grader_1|Loader_1
2024-04-22,S007,Excavator|Loader,Excavator_1|Loader_1
2024-04-22,S008,Bulldozer|Crane|Loader,Bulldozer_1|Crane_1|Loader_1
2024-04-22,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-04-22,S010,Bulldozer,Bulldozer_1
2024-04-29,S001,Roller,Roller_1
2024-04-29,S002,Bulldozer|Crane|Grader|Loader|Roller,Bulldozer_1|Crane_2_units|Grader_1|Loader_1|Roller_1
2024-04-29,S003,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_3_units|Roller_1
2024-04-29,S004,Bulldozer|Excavator,Bulldozer_1|Excavator_1
2024-04-29,S005,Grader,Grader_1
2024-04-29,S006,Excavator|Grader|Loader,Excavator_2_units|Grader_1|Loader_1
2024-04-29,S007,Crane|Excavator,Crane_1|Excavator_1
2024-04-29,S008,Bulldozer|Loader|Roller,Bulldozer_1|Loader_1|Roller_1
2024-04-29,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-04-29,S010,Bulldozer,Bulldozer_1
2024-05-06,S001,Crane|Excavator|Loader|Roller,Crane_1|Excavator_1|Loader_1|Roller_1
2024-05-06,S002,Loader,Loader_1
2024-05-06,S003,Crane|Excavator|Grader|Roller,Crane_1|Excavator_2_units|Grader_1|Roller_2_units
2024-05-06,S004,Bulldozer|Excavator|Loader,Bulldozer_1|Excavator_1|Loader_1
2024-05-06,S005,Excavator|Grader,Excavator_1|Grader_1
2024-05-06,S006,Bulldozer|Excavator|Grader,Bulldozer_2_units|Excavator_1|Grader_1
2024-05-06,S007,Bulldozer|Crane|Loader,Bulldozer_1|Crane_1|Loader_1
2024-05-06,S008,Bulldozer|Roller,Bulldozer_1|Roller_1
2024-05-06,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_1|Crane_1|Excavator_2_units|Grader_2_units|Loader_2_units|Roller_1
2024-05-06,S010,Excavator|Loader,Excavator_1|Loader_1
2024-05-13,S001,Crane|Excavator|Grader|Loader|Roller,Crane_1|Excavator_2_units|Grader_1|Loader_1|Roller_1
2024-05-13,S002,Loader,Loader_2_units
2024-05-13,S003,Crane|Excavator|Grader|Roller,Crane_1|Excavator_1|Grader_1|Roller_3_units
2024-05-13,S004,Bulldozer|Grader|Loader,Bulldozer_1|Grader_1|Loader_1
2024-05-13,S005,Excavator,Excavator_1
2024-05-13,S006,Bulldozer|Grader,Bulldozer_2_units|Grader_1
2024-05-13,S007,Bulldozer|Crane|Loader|Roller,Bulldozer_1|Crane_2_units|Loader_1|Roller_1
2024-05-13,S008,Bulldozer|Roller,Bulldozer_1|Roller_1
2024-05-13,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_3_units|Grader_2_units|Loader_2_units|Roller_1
2024-05-13,S010,Bulldozer|Excavator|Loader,Bulldozer_1|Excavator_1|Loader_1
2024-05-20,S001,Excavator|Grader|Loader,Excavator_2_units|Grader_1|Loader_2_units
2024-05-20,S002,Grader|Loader|Roller,Grader_1|Loader_2_units|Roller_1
2024-05-20,S003,Excavator|Roller,Excavator_1|Roller_3_units
2024-05-20,S004,Excavator|Grader|Loader,Excavator_1|Grader_1|Loader_1
2024-05-20,S005,Bulldozer|Roller,Bulldozer_1|Roller_2_units
2024-05-20,S006,Bulldozer,Bulldozer_1
2024-05-20,S007,Crane|Excavator|Loader|Roller,Crane_2_units|Excavator_1|Loader_2_units|Roller_1
2024-05-20,S008,Roller,Roller_1
2024-05-20,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_4_units|Grader_2_units|Loader_3_units|Roller_1
2024-05-20,S010,Bulldozer|Loader,Bulldozer_1|Loader_1
2024-05-27,S001,Crane|Loader|Roller,Crane_2_units|Loader_2_units|Roller_1
2024-05-27,S002,Excavator|Grader|Loader|Roller,Excavator_1|Grader_1|Loader_1|Roller_2_units
2024-05-27,S003,Excavator,Excavator_2_units
2024-05-27,S004,Excavator,Excavator_1
2024-05-27,S005,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_1|Grader_2_units|Roller_2_units
2024-05-27,S006,Bulldozer,Bulldozer_1
2024-05-27,S007,Crane|Excavator|Loader|Roller,Crane_1|Excavator_1|Loader_2_units|Roller_1
2024-05-27,S008,Loader|Roller,Loader_1|Roller_1
2024-05-27,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_4_units|Grader_2_units|Loader_3_units|Roller_1
2024-05-27,S010,Excavator|Loader|Roller,Excavator_1|Loader_1|Roller_1
2024-06-03,S001,Crane|Loader|Roller,Crane_3_units|Loader_2_units|Roller_1
2024-06-03,S002,Bulldozer|Excavator|Loader|Roller,Bulldozer_3_units|Excavator_1|Loader_1|Roller_2_units
2024-06-03,S003,Excavator|Roller,Excavator_2_units|Roller_1
2024-06-03,S004,Bulldozer|Grader,Bulldozer_1|Grader_1
2024-06-03,S005,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_1|Grader_2_units|Loader_1|Roller_1
2024-06-03,S006,Bulldozer,Bulldozer_1
2024-06-03,S007,Crane|Loader|Roller,Crane_3_units|Loader_1|Roller_1
2024-06-03,S008,Excavator|Loader,Excavator_1|Loader_1
2024-06-03,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_5_units|Grader_1|Loader_2_units|Roller_1
2024-06-03,S010,Excavator|Loader|Roller,Excavator_1|Loader_1|Roller_1
2024-06-10,S001,Bulldozer|Crane|Loader|Roller,Bulldozer_2_units|Crane_3_units|Loader_2_units|Roller_1
2024-06-10,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_3_units|Crane_1|Loader_2_units|Roller_1
2024-06-10,S003,Excavator|Roller,Excavator_2_units|Roller_1
2024-06-10,S004,Bulldozer|Grader|Roller,Bulldozer_1|Grader_1|Roller_1
2024-06-10,S005,Bulldozer|Crane|Excavator|Grader|Loader,Bulldozer_1|Crane_1|Excavator_1|Grader_2_units|Loader_1
2024-06-10,S006,Bulldozer|Loader,Bulldozer_1|Loader_1
2024-06-10,S007,Crane|Excavator|Loader|Roller,Crane_3_units|Excavator_1|Loader_1|Roller_1
2024-06-10,S008,Bulldozer|Excavator|Loader|Roller,Bulldozer_1|Excavator_1|Loader_2_units|Roller_1
2024-06-10,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_5_units|Grader_2_units|Loader_1|Roller_1
2024-06-10,S010,Loader,Loader_1
2024-06-17,S001,Bulldozer|Crane|Excavator|Roller,Bulldozer_2_units|Crane_2_units|Excavator_1|Roller_1
2024-06-17,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_2_units|Crane_1|Loader_2_units|Roller_1
2024-06-17,S003,Excavator,Excavator_1
2024-06-17,S004,Roller,Roller_1
2024-06-17,S005,Bulldozer|Crane|Excavator|Grader|Roller,Bulldozer_1|Crane_1|Excavator_1|Grader_2_units|Roller_1
2024-06-17,S006,Loader,Loader_1
2024-06-17,S007,Excavator|Roller,Excavator_1|Roller_1
2024-06-17,S008,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_1|Grader_2_units|Loader_2_units|Roller_1
2024-06-17,S009,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_3_units|Grader_2_units|Loader_1|Roller_1
2024-06-17,S010,Crane|Loader,Crane_1|Loader_1
2024-06-24,S001,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_1|Grader_2_units|Loader_1|Roller_1
2024-06-24,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_1|Crane_1|Loader_1|Roller_1
2024-06-24,S003,Excavator,Excavator_1
2024-06-24,S004,Grader,Grader_1
2024-06-24,S005,Crane|Excavator|Grader|Loader|Roller,Crane_1|Excavator_1|Grader_1|Loader_1|Roller_1
2024-06-24,S006,Grader|Loader,Grader_1|Loader_1
2024-06-24,S007,Roller,Roller_1
2024-06-24,S008,Excavator|Grader|Loader|Roller,Excavator_1|Grader_2_units|Loader_2_units|Roller_1
2024-06-24,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_3_units|Grader_1|Loader_1|Roller_1
2024-06-24,S010,Crane|Loader,Crane_1|Loader_1
2024-07-01,S001,Excavator|Grader|Loader|Roller,Excavator_1|Grader_2_units|Loader_1|Roller_1
2024-07-01,S002,Bulldozer|Crane|Loader|Roller,Bulldozer_1|Crane_1|Loader_1|Roller_1
2024-07-01,S003,Excavator|Loader,Excavator_1|Loader_1
2024-07-01,S004,Excavator|Grader,Excavator_1|Grader_1
2024-07-01,S005,Bulldozer|Crane|Excavator|Grader|Loader,Bulldozer_1|Crane_1|Excavator_2_units|Grader_1|Loader_1
2024-07-01,S006,Grader,Grader_1
2024-07-01,S007,Roller,Roller_2_units
2024-07-01,S008,Excavator|Grader|Loader|Roller,Excavator_1|Grader_1|Loader_1|Roller_2_units
2024-07-01,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Loader_1|Roller_1
2024-07-01,S010,Crane,Crane_3_units
2024-07-08,S001,Excavator,Excavator_1
2024-07-08,S002,Bulldozer|Grader|Loader|Roller,Bulldozer_1|Grader_3_units|Loader_1|Roller_1
2024-07-08,S003,Excavator|Loader,Excavator_1|Loader_1
2024-07-08,S004,Bulldozer|Excavator,Bulldozer_1|Excavator_1
2024-07-08,S005,Bulldozer|Excavator|Grader|Loader,Bulldozer_1|Excavator_2_units|Grader_1|Loader_1
2024-07-08,S006,Grader|Roller,Grader_1|Roller_2_units
2024-07-08,S007,Loader|Roller,Loader_1|Roller_2_units
2024-07-08,S008,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_1|Grader_1|Roller_2_units
2024-07-08,S009,Bulldozer|Excavator|Grader|Loader,Bulldozer_1|Excavator_2_units|Grader_3_units|Loader_1
2024-07-08,S010,Crane,Crane_3_units
2024-07-15,S001,Bulldozer,Bulldozer_1
2024-07-15,S002,Bulldozer|Grader|Loader|Roller,Bulldozer_1|Grader_3_units|Loader_1|Roller_1
2024-07-15,S003,Crane|Excavator|Loader,Crane_1|Excavator_2_units|Loader_1
2024-07-15,S004,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_3_units|Grader_1
2024-07-15,S005,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_1|Grader_1
2024-07-15,S006,Grader|Roller,Grader_1|Roller_2_units
2024-07-15,S007,Loader|Roller,Loader_1|Roller_1
2024-07-15,S008,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_2_units|Roller_2_units
2024-07-15,S009,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_1|Grader_3_units
2024-07-15,S010,Bulldozer|Excavator,Bulldozer_1|Excavator_1
2024-07-22,S001,Bulldozer,Bulldozer_1
2024-07-22,S002,Bulldozer|Grader|Loader|Roller,Bulldozer_1|Grader_1|Loader_1|Roller_1
2024-07-22,S003,Bulldozer|Crane|Excavator|Loader,Bulldozer_1|Crane_1|Excavator_2_units|Loader_1
2024-07-22,S004,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_4_units|Grader_1
2024-07-22,S005,Bulldozer|Crane|Grader,Bulldozer_1|Crane_1|Grader_1
2024-07-22,S006,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-07-22,S007,,
2024-07-22,S008,Excavator|Roller,Excavator_2_units|Roller_2_units
2024-07-22,S009,Bulldozer|Crane|Excavator|Grader,Bulldozer_1|Crane_1|Excavator_2_units|Grader_1
2024-07-22,S010,Bulldozer|Excavator,Bulldozer_1|Excavator_2_units
2024-07-29,S001,Bulldozer,Bulldozer_2_units
2024-07-29,S002,Loader,Loader_3_units
2024-07-29,S003,Bulldozer|Crane|Loader,Bulldozer_1|Crane_1|Loader_1
2024-07-29,S004,Bulldozer|Excavator,Bulldozer_1|Excavator_4_units
2024-07-29,S005,Crane|Excavator|Grader|Loader,Crane_1|Excavator_1|Grader_1|Loader_1
2024-07-29,S006,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-07-29,S007,,
2024-07-29,S008,Excavator|Loader|Roller,Excavator_1|Loader_1|Roller_2_units
