rental_id,equipment_id,site_id,operator_id,check_in_date,check_out_date,engine_hours_per_day,idle_hours_per_day,rental_days,is_overdue,anomaly_flag
43,EQX1081,S001,OP122,2024-01-18,2024-01-22,6.76,2.07,10,False,
44,EQX1100,S003,OP123,2024-01-18,2024-01-29,6.78,4.09,22,False,
45,EQX1116,S002,,2024-01-18,2024-01-22,4.69,2.83,18,False,Missing Operator
46,EQX1118,S001,OP140,2024-01-18,2024-03-04,2.36,6.29,18,True,Overdue Equipment
47,EQX1056,S009,OP141,2024-01-23,2024-02-05,8.84,1.65,18,False,
48,EQX1102,S007,OP145,2024-01-23,2024-01-29,1.54,6.57,14,False,Under-utilised
49,EQX1107,S008,OP133,2024-01-23,2024-02-05,7.95,1.15,18,False,
50,EQX1108,S009,OP108,2024-01-23,2024-02-12,7.44,0.94,19,True,Overdue Equipment
51,EQX1042,S009,OP107,2024-01-24,2024-02-05,1.06,7.06,30,False,Under-utilised
52,EQX1046,S010,OP110,2024-01-24,2024-01-29,4.45,3.33,23,False,
53,EQX1095,S007,OP127,2024-01-24,2024-02-26,2.04,7.17,32,True,Overdue Equipment
54,EQX1098,S005,OP129,2024-01-24,2024-01-29,3.05,8.69,32,False,High Idle Time
55,EQX1115,S003,OP132,2024-01-24,2024-02-05,8.34,1.55,14,False,
56,EQX1029,S001,OP116,2024-01-25,2024-01-29,5.31,4.07,13,False,
57,EQX1030,S007,OP124,2024-01-25,2024-02-12,6.67,4.48,28,False,
58,EQX1032,S001,OP127,2024-01-25,2024-01-29,4.37,4.39,17,False,
59,EQX1043,S002,OP138,2024-01-25,2024-01-29,8.81,0.58,20,False,
60,EQX1086,S009,OP132,2024-01-25,2024-02-05,4.78,2.74,10,True,Overdue Equipment
61,EQX1113,S008,OP136,2024-01-25,2024-02-05,0.89,5.78,21,False,Under-utilised
62,EQX1119,S007,OP134,2024-01-25,2024-01-29,6.86,2.97,11,False,
63,EQX1119,S002,OP142,2024-01-30,2024-02-05,0.49,8.71,8,False,High Idle Time
64,EQX1057,S004,OP117,2024-01-31,2024-02-05,6.69,3.59,26,False,
65,EQX1005,S003,OP130,2024-02-01,2024-02-12,1.49,8.3,34,False,High Idle Time
66,EQX1021,S002,OP142,2024-02-01,2024-02-12,4.81,4.3,18,False,
67,EQX1048,S009,OP127,2024-02-01,2024-02-05,2.83,6.63,30,False,
68,EQX1110,S003,OP118,2024-02-01,2024-02-05,1.28,9.34,14,False,High Idle Time
69,EQX1016,S001,OP140,2024-02-06,2024-02-19,8.36,0.72,40,False,
70,EQX1036,S003,,2024-02-06,2024-02-12,5.09,4.18,30,False,Missing Operator
71,EQX1053,S008,OP111,2024-02-06,2024-02-26,1.43,8.64,21,False,High Idle Time
72,EQX1055,S001,OP110,2024-02-06,2024-02-12,5.28,2.86,25,False,
73,EQX1014,S009,OP103,2024-02-07,2024-02-19,6.69,1.53,14,False,
74,EQX1026,S009,OP128,2024-02-07,2024-02-12,5.33,4.38,10,False,
75,EQX1040,S003,OP134,2024-02-07,2024-03-11,9.05,2.1,17,True,Overdue Equipment
76,EQX1054,S005,OP124,2024-02-07,2024-02-12,5.57,2.48,19,False,
77,EQX1010,S004,OP114,2024-02-08,2024-02-12,2.48,8.75,34,False,High Idle Time
78,EQX1017,S010,OP105,2024-02-08,2024-03-04,5.66,3.04,30,False,
79,EQX1039,S002,OP108,2024-02-08,2024-02-19,6.26,2.43,13,False,
80,EQX1044,S004,OP111,2024-02-08,2024-02-12,6.63,0.81,12,False,
81,EQX1081,S010,OP126,2024-02-08,2024-02-26,4.22,2.89,32,False,
82,EQX1097,S002,OP107,2024-02-08,2024-03-04,6.38,2.86,17,True,Overdue Equipment
83,EQX1110,S007,OP132,2024-02-08,2024-02-12,8.78,1.28,18,False,
84,EQX1033,S005,OP142,2024-02-13,2024-02-26,5.41,4.42,24,False,
85,EQX1036,S008,OP104,2024-02-13,2024-02-19,9.38,1.01,26,False,
86,EQX1043,S008,,2024-02-13,2024-02-26,6.97,2.05,23,False,Missing Operator
87,EQX1049,S003,OP120,2024-02-13,2024-02-19,5.75,4.42,16,False,
88,EQX1062,S004,OP115,2024-02-13,2024-03-04,4.35,3.8,18,True,Overdue Equipment
89,EQX1092,S001,OP119,2024-02-13,2024-03-11,8.24,2.21,34,False,
90,EQX1093,S002,OP124,2024-02-13,2024-03-25,4.94,3.44,9,True,Overdue Equipment
91,EQX1111,S008,OP117,2024-02-13,2024-02-26,7.42,1.51,14,False,
92,EQX1024,S006,OP127,2024-02-14,2024-03-11,6.62,1.67,20,True,Overdue Equipment
93,EQX1045,S005,OP130,2024-02-14,2024-03-04,5.17,4.49,32,False,
94,EQX1084,S003,OP118,2024-02-14,2024-02-19,6.96,2.25,26,False,
95,EQX1103,S010,OP134,2024-02-14,2024-02-19,9.25,1.84,7,False,
96,EQX1028,S001,OP102,2024-02-15,2024-03-11,4.84,2.9,16,True,Overdue Equipment
97,EQX1031,S008,OP111,2024-02-15,2024-03-11,0.56,8.46,10,True,Overdue Equipment
98,EQX1037,S009,OP102,2024-02-15,2024-03-04,2.38,5.25,29,False,
99,EQX1038,S010,OP110,2024-02-15,2024-03-11,6.17,2.03,17,True,Overdue Equipment
100,EQX1047,S002,OP138,2024-02-15,2024-02-26,0.77,9.32,26,False,High Idle Time
101,EQX1054,S009,OP117,2024-02-15,2024-02-19,7.21,1.88,25,False,
102,EQX1065,S010,OP112,2024-02-15,2024-02-19,7.05,0.52,19,False,
103,EQX1074,S002,OP127,2024-02-15,2024-02-26,0.51,7.85,7,True,Overdue Equipment
104,EQX1113,S004,OP111,2024-02-15,2024-02-26,5.53,2.94,14,False,
105,EQX1034,S004,OP111,2024-02-20,2024-03-11,6.87,3.96,15,True,Overdue Equipment
106,EQX1041,S004,OP129,2024-02-20,2024-03-11,2.45,8.73,27,False,High Idle Time
107,EQX1042,S006,OP136,2024-02-20,2024-02-26,1.67,9.08,20,False,High Idle Time
108,EQX1060,S010,OP133,2024-02-20,2024-02-26,6.82,1.48,19,False,
109,EQX1067,S009,OP137,2024-02-20,2024-03-04,5.31,3.34,12,True,Overdue Equipment
110,EQX1068,S002,OP114,2024-02-20,2024-03-11,6.61,2.86,13,True,Overdue Equipment
111,EQX1088,S009,OP102,2024-02-20,2024-02-26,6.11,3.62,26,False,
112,EQX1099,S004,OP103,2024-02-20,2024-02-26,1.27,5.03,29,False,
113,EQX1107,S005,,2024-02-20,2024-03-04,0.52,8.06,21,False,Missing Operator
114,EQX1112,S009,,2024-02-20,2024-02-26,5.27,4.1,9,False,Missing Operator
115,EQX1044,S009,OP120,2024-02-21,2024-03-04,4.43,3.89,17,False,
116,EQX1064,S010,OP136,2024-02-21,2024-03-11,7.32,1.58,12,True,Overdue Equipment
117,EQX1106,S008,OP118,2024-02-21,2024-03-04,5.86,2.95,8,True,Overdue Equipment
118,EQX1109,S004,OP140,2024-02-21,2024-04-01,5.05,4.22,7,True,Overdue Equipment
119,EQX1119,S002,OP120,2024-02-21,2024-03-04,9.32,1.22,17,False,
120,EQX1001,S006,OP101,2024-02-22,2024-03-18,8.68,1.28,15,True,Overdue Equipment
121,EQX1004,S005,OP132,2024-02-22,2024-03-11,6.71,4.12,29,False,
122,EQX1023,S004,OP134,2024-02-22,2024-03-04,6.15,2.98,40,False,
123,EQX1029,S006,OP133,2024-02-22,2024-02-26,0.88,5.21,11,False,Under-utilised
124,EQX1032,S006,OP119,2024-02-22,2024-02-26,4.65,3.82,18,False,
125,EQX1052,S005,OP104,2024-02-22,2024-03-11,6.53,1.85,16,True,Overdue Equipment
126,EQX1084,S008,OP134,2024-02-22,2024-02-26,6.86,2.62,23,False,
127,EQX1027,S001,OP110,2024-02-27,2024-03-11,6.57,1.39,30,False,
128,EQX1015,S006,OP108,2024-02-28,2024-04-08,8.83,0.64,41,False,
129,EQX1059,S006,OP103,2024-02-28,2024-03-04,1.91,8.13,16,False,High Idle Time
130,EQX1077,S009,OP104,2024-02-28,2024-03-04,6.77,1.21,3,True,Overdue Equipment
131,EQX1050,S004,OP121,2024-02-29,2024-03-04,5.73,2.82,26,False,
132,EQX1072,S009,OP145,2024-02-29,2024-03-04,6.94,2.68,17,False,
133,EQX1079,S005,OP114,2024-02-29,2024-03-04,7.58,1.11,19,False,
134,EQX1111,S007,OP112,2024-02-29,2024-03-04,5.87,3.51,21,False,
135,EQX1018,S003,OP138,2024-03-05,2024-03-11,4.47,2.11,40,False,
136,EQX1036,S002,OP102,2024-03-05,2024-03-18,1.01,6.42,28,False,Under-utilised
137,EQX1050,S002,OP132,2024-03-05,2024-03-18,6.15,2.41,25,False,
138,EQX1054,S010,OP112,2024-03-05,2024-03-11,1.3,9.42,26,False,High Idle Time
139,EQX1055,S008,OP130,2024-03-05,2024-03-25,8.68,1.25,25,False,
140,EQX1070,S001,OP122,2024-03-05,2024-03-18,1.69,8.92,8,True,Overdue Equipment
141,EQX1091,S005,OP134,2024-03-05,2024-03-11,5.76,2.62,22,False,
142,EQX1096,S007,OP136,2024-03-05,2024-03-11,6.97,4.31,20,False,
143,EQX1110,S006,OP127,2024-03-05,2024-03-11,7.11,0.71,13,False,
144,EQX1005,S002,OP131,2024-03-06,2024-03-25,7.37,2.18,25,False,
145,EQX1057,S009,OP134,2024-03-06,2024-03-18,9.15,2.44,9,True,Overdue Equipment
146,EQX1114,S009,OP112,2024-03-06,2024-03-25,5.37,3.32,11,True,Overdue Equipment
147,EQX1118,S006,OP102,2024-03-06,2024-03-11,8.69,1.66,18,False,
148,EQX1045,S006,OP128,2024-03-07,2024-03-11,9.19,1.1,14,False,
149,EQX1047,S001,OP131,2024-03-07,2024-03-18,9.45,0.71,27,False,
150,EQX1078,S008,OP103,2024-03-07,2024-03-11,7.21,1.14,20,False,
151,EQX1060,S004,OP117,2024-03-12,2024-03-25,6.06,2.91,20,False,
152,EQX1120,S008,OP119,2024-03-12,2024-03-25,4.02,2.96,21,False,
153,EQX1082,S009,OP128,2024-03-13,2024-03-25,2.57,8.33,28,False,High Idle Time
154,EQX1094,S009,OP124,2024-03-13,2024-04-01,5.46,4.11,32,False,
155,EQX1032,S005,OP140,2024-03-14,2024-04-01,2.39,7.05,10,True,Overdue Equipment
156,EQX1049,S003,OP126,2024-03-14,2024-03-18,6.86,0.5,25,False,
157,EQX1054,S008,OP120,2024-03-14,2024-03-25,6.57,1.37,18,False,
158,EQX1059,S008,OP111,2024-03-14,2024-04-01,5.79,3.39,12,True,Overdue Equipment
159,EQX1101,S010,OP101,2024-03-14,2024-03-18,5.56,4.45,27,False,
160,EQX1104,S010,OP113,2024-03-14,2024-03-18,6.62,2.95,18,False,
161,EQX1002,S005,OP125,2024-03-19,2024-04-01,5.45,3.72,37,False,
162,EQX1012,S004,OP137,2024-03-19,2024-03-25,1.63,8.41,36,False,High Idle Time
163,EQX1019,S004,OP136,2024-03-20,2024-04-01,2.61,5.11,14,False,
164,EQX1025,S003,OP101,2024-03-20,2024-03-25,9.15,1.96,32,False,
165,EQX1049,S001,OP120,2024-03-20,2024-03-25,1.22,8.55,9,False,High Idle Time
166,EQX1069,S002,OP131,2024-03-20,2024-04-15,2.8,8.11,10,True,Overdue Equipment
167,EQX1079,S005,OP130,2024-03-20,2024-03-25,8.54,1.71,20,False,
168,EQX1083,S003,OP127,2024-03-20,2024-03-25,4.63,4.21,35,False,
169,EQX1086,S001,OP105,2024-03-20,2024-03-25,7.77,1.75,35,False,
170,EQX1110,S002,OP114,2024-03-20,2024-03-25,2.28,6.37,6,False,
171,EQX1016,S007,OP141,2024-03-21,2024-04-01,7.45,1.09,32,False,
172,EQX1034,S003,OP143,2024-03-21,2024-04-08,1.45,5.44,22,False,
173,EQX1036,S004,OP115,2024-03-21,2024-04-08,0.45,5.01,35,False,Under-utilised
174,EQX1058,S006,OP103,2024-03-21,2024-03-25,4.21,2.44,28,False,
175,EQX1067,S007,OP139,2024-03-21,2024-03-25,2.76,8.44,15,False,High Idle Time
176,EQX1089,S007,OP136,2024-03-21,2024-04-01,4.14,4.09,19,False,
177,EQX1107,S003,OP143,2024-03-21,2024-03-25,4.29,2.75,19,False,
178,EQX1043,S005,OP145,2024-03-26,2024-04-01,4.04,2.63,27,False,
179,EQX1062,S005,OP144,2024-03-26,2024-04-08,5.39,2.0,18,False,
180,EQX1083,S006,OP132,2024-03-26,2024-04-08,4.59,3.49,24,False,
181,EQX1084,S007,OP126,2024-03-26,2024-04-01,7.71,1.75,17,False,
182,EQX1012,S006,OP137,2024-03-27,2024-04-29,4.09,3.34,36,False,
183,EQX1031,S007,OP133,2024-03-27,2024-04-01,0.98,7.39,12,False,Under-utilised
184,EQX1004,S007,OP112,2024-03-28,2024-04-29,6.55,3.1,24,True,Overdue Equipment
185,EQX1035,S002,,2024-03-28,2024-04-01,2.23,7.53,16,False,Missing Operator
186,EQX1100,S007,OP136,2024-03-28,2024-04-22,5.79,2.33,17,True,Overdue Equipment
187,EQX1003,S002,OP140,2024-04-02,2024-04-08,4.85,3.68,38,False,
188,EQX1016,S003,OP141,2024-04-02,2024-05-06,6.79,2.56,40,False,
189,EQX1019,S003,OP110,2024-04-02,2024-04-29,6.54,4.16,15,True,Overdue Equipment
190,EQX1057,S003,OP103,2024-04-02,2024-04-08,4.8,4.19,13,False,
191,EQX1058,S004,OP122,2024-04-02,2024-04-15,6.22,2.51,12,True,Overdue Equipment
192,EQX1081,S006,OP119,2024-04-02,2024-04-15,7.33,1.52,16,False,
193,EQX1070,S006,OP103,2024-04-03,2024-04-08,6.66,2.03,5,False,
194,EQX1074,S002,OP126,2024-04-03,2024-04-29,7.48,0.84,16,True,Overdue Equipment
195,EQX1108,S005,OP145,2024-04-03,2024-04-08,6.15,4.48,6,False,
196,EQX1013,S001,OP134,2024-04-04,2024-04-15,7.3,2.04,16,False,
197,EQX1029,S006,OP139,2024-04-04,2024-04-08,6.11,3.46,25,False,
198,EQX1079,S006,OP139,2024-04-04,2024-04-08,0.49,9.41,19,False,High Idle Time
199,EQX1080,S006,OP106,2024-04-04,2024-04-08,0.46,7.25,4,False,Under-utilised
200,EQX1099,S002,OP103,2024-04-04,2024-04-29,4.76,4.44,12,True,Overdue Equipment
201,EQX1018,S001,OP114,2024-04-09,2024-04-22,7.29,0.52,26,False,
202,EQX1027,S004,OP113,2024-04-09,2024-04-22,6.58,3.55,27,False,
203,EQX1078,S008,OP137,2024-04-09,2024-04-22,4.2,3.79,12,True,Overdue Equipment
204,EQX1113,S001,OP111,2024-04-09,2024-04-15,5.42,3.46,7,False,
205,EQX1116,S006,OP126,2024-04-09,2024-04-15,2.49,8.08,16,False,High Idle Time
206,EQX1040,S002,OP102,2024-04-10,2024-04-15,4.1,3.35,19,False,
207,EQX1091,S008,OP115,2024-04-10,2024-04-15,6.11,3.52,26,False,
208,EQX1118,S004,OP122,2024-04-10,2024-04-22,4.66,2.23,8,True,Overdue Equipment
209,EQX1021,S005,OP145,2024-04-11,2024-04-22,6.91,3.31,21,False,
210,EQX1041,S009,OP119,2024-04-11,2024-04-15,6.08,2.4,14,False,
211,EQX1048,S010,OP129,2024-04-11,2024-04-15,7.12,2.37,34,False,
212,EQX1056,S007,OP110,2024-04-11,2024-04-15,8.12,1.25,19,False,
213,EQX1079,S004,OP121,2024-04-11,2024-04-15,4.66,4.4,9,False,
214,EQX1020,S009,OP103,2024-04-16,2024-04-22,6.78,3.47,18,False,
215,EQX1026,S003,OP142,2024-04-16,2024-05-06,8.7,1.61,20,False,
216,EQX1050,S002,OP127,2024-04-16,2024-04-29,8.61,1.66,8,True,Overdue Equipment
217,EQX1053,S009,OP131,2024-04-16,2024-04-22,6.21,3.63,10,False,
218,EQX1060,S006,OP136,2024-04-16,2024-05-13,4.96,2.63,25,True,Overdue Equipment
219,EQX1094,S009,OP109,2024-04-16,2024-05-27,7.4,0.74,32,True,Overdue Equipment
220,EQX1005,S004,OP128,2024-04-17,2024-05-06,0.99,5.74,35,False,Under-utilised
221,EQX1043,S003,OP112,2024-04-17,2024-04-29,2.37,8.45,35,False,High Idle Time
222,EQX1017,S002,,2024-04-18,2024-04-22,5.85,4.33,20,False,Missing Operator
223,EQX1110,S009,OP142,2024-04-18,2024-05-27,4.21,2.43,5,True,Overdue Equipment
224,EQX1029,S008,OP122,2024-04-23,2024-04-29,1.19,7.21,13,False,Under-utilised
225,EQX1075,S009,OP142,2024-04-23,2024-04-29,6.88,2.75,8,False,
226,EQX1105,S002,OP105,2024-04-23,2024-04-29,6.87,2.5,10,False,
227,EQX1014,S006,OP122,2024-04-24,2024-05-06,4.19,2.66,16,False,
228,EQX1047,S010,OP144,2024-04-24,2024-04-29,7.49,0.91,24,False,
229,EQX1072,S002,OP130,2024-04-24,2024-04-29,1.7,6.82,15,False,Under-utilised
230,EQX1101,S006,OP128,2024-04-24,2024-04-29,6.84,2.75,15,False,
231,EQX1032,S009,OP110,2024-04-25,2024-06-24,6.83,2.21,25,True,Overdue Equipment
232,EQX1034,S002,OP108,2024-04-25,2024-04-29,1.73,5.66,24,False,
233,EQX1037,S004,OP141,2024-04-25,2024-04-29,6.01,2.83,33,False,
234,EQX1100,S008,OP128,2024-04-25,2024-04-29,7.47,1.88,13,False,
235,EQX1057,S009,OP105,2024-05-01,2024-05-13,0.93,9.12,8,True,Overdue Equipment
236,EQX1073,S007,OP122,2024-05-01,2024-05-20,5.99,4.16,17,True,Overdue Equipment
237,EQX1018,S009,OP130,2024-05-02,2024-06-10,6.68,1.03,16,True,Overdue Equipment
238,EQX1058,S005,OP115,2024-05-02,2024-05-06,1.95,6.48,27,False,
239,EQX1109,S003,OP113,2024-05-02,2024-05-20,7.31,0.98,7,True,Overdue Equipment
240,EQX1111,S001,OP136,2024-05-02,2024-05-13,1.52,6.23,6,True,Overdue Equipment
241,EQX1116,S008,OP128,2024-05-02,2024-05-13,6.76,2.45,5,True,Overdue Equipment
242,EQX1012,S009,OP134,2024-05-07,2024-06-10,7.56,0.62,42,False,
243,EQX1016,S005,OP144,2024-05-07,2024-05-13,6.53,0.79,25,False,
244,EQX1063,S003,OP145,2024-05-07,2024-05-13,4.59,2.94,28,False,
245,EQX1068,S009,OP112,2024-05-07,2024-05-13,4.1,2.52,7,False,
246,EQX1081,S001,OP114,2024-05-07,2024-05-27,2.07,7.97,24,False,
247,EQX1093,S007,OP129,2024-05-07,2024-05-27,6.9,2.36,8,True,Overdue Equipment
248,EQX1025,S010,OP139,2024-05-08,2024-05-13,8.95,0.51,10,False,
249,EQX1033,S006,OP129,2024-05-08,2024-05-13,4.0,2.87,34,False,
250,EQX1038,S008,OP113,2024-05-08,2024-05-13,5.64,3.4,10,False,
251,EQX1042,S004,,2024-05-08,2024-05-13,7.38,1.92,18,False,Missing Operator
252,EQX1047,S006,OP113,2024-05-08,2024-06-10,8.29,1.53,17,True,Overdue Equipment
253,EQX1069,S001,OP121,2024-05-08,2024-05-13,5.0,4.0,18,False,
254,EQX1084,S002,OP122,2024-05-08,2024-05-20,4.24,4.41,14,False,
255,EQX1089,S009,OP135,2024-05-08,2024-06-03,8.89,0.53,22,True,Overdue Equipment
256,EQX1108,S003,OP136,2024-05-08,2024-05-20,8.05,0.56,9,True,Overdue Equipment
257,EQX1017,S001,OP139,2024-05-09,2024-05-20,4.78,3.35,33,False,
258,EQX1045,S007,OP106,2024-05-09,2024-05-13,2.06,7.05,27,False,
259,EQX1051,S009,OP119,2024-05-09,2024-05-27,4.14,4.28,27,False,
260,EQX1072,S003,OP123,2024-05-09,2024-05-13,5.89,3.1,18,False,
261,EQX1088,S004,OP128,2024-05-09,2024-05-20,4.14,2.42,22,False,
262,EQX1091,S010,OP117,2024-05-09,2024-06-10,4.73,2.11,19,True,Overdue Equipment
263,EQX1013,S003,OP105,2024-05-14,2024-06-10,5.39,3.05,24,True,Overdue Equipment
264,EQX1033,S009,OP132,2024-05-14,2024-07-22,2.08,5.01,14,True,Overdue Equipment
265,EQX1055,S001,OP124,2024-05-14,2024-05-20,5.45,3.29,19,False,
266,EQX1061,S004,OP104,2024-05-14,2024-05-20,0.71,7.7,16,False,Under-utilised
267,EQX1085,S002,OP108,2024-05-14,2024-05-27,4.11,3.09,20,False,
268,EQX1037,S010,OP111,2024-05-15,2024-05-20,4.0,3.23,35,False,
269,EQX1078,S007,OP141,2024-05-15,2024-06-10,5.3,2.03,18,True,Overdue Equipment
270,EQX1115,S007,OP107,2024-05-15,2024-06-10,5.41,3.17,6,True,Overdue Equipment
271,EQX1001,S009,OP104,2024-05-16,2024-06-10,9.47,0.56,42,False,
272,EQX1011,S001,OP101,2024-05-16,2024-05-20,6.57,3.56,17,False,
273,EQX1111,S003,OP132,2024-05-16,2024-05-20,2.4,8.26,12,False,High Idle Time
274,EQX1019,S007,OP138,2024-05-21,2024-05-27,7.33,1.67,25,False,
275,EQX1043,S005,OP132,2024-05-21,2024-06-03,6.29,4.48,12,True,Overdue Equipment
276,EQX1061,S002,OP132,2024-05-21,2024-05-27,7.79,2.23,26,False,
277,EQX1113,S005,OP118,2024-05-21,2024-05-27,2.69,7.79,6,False,
278,EQX1022,S004,OP144,2024-05-22,2024-05-27,1.4,5.52,32,False,
279,EQX1084,S007,OP145,2024-05-22,2024-06-10,7.81,2.11,11,True,Overdue Equipment
280,EQX1088,S009,OP123,2024-05-22,2024-06-24,5.83,2.9,18,True,Overdue Equipment
281,EQX1090,S001,OP128,2024-05-22,2024-06-10,4.46,3.3,14,True,Overdue Equipment
282,EQX1106,S008,OP140,2024-05-22,2024-05-27,7.91,1.36,17,False,
283,EQX1007,S009,OP129,2024-05-23,2024-06-24,8.03,2.45,42,False,
284,EQX1056,S009,OP135,2024-05-23,2024-05-27,1.22,5.55,16,False,Under-utilised
285,EQX1112,S002,OP106,2024-05-23,2024-06-03,7.09,0.94,15,False,
286,EQX1119,S005,OP142,2024-05-23,2024-06-03,2.99,6.04,6,True,Overdue Equipment
287,EQX1009,S003,OP133,2024-05-28,2024-06-10,6.51,2.94,29,False,
288,EQX1068,S001,OP145,2024-05-28,2024-06-10,6.97,4.42,17,False,
289,EQX1087,S008,OP142,2024-05-28,2024-06-24,5.11,2.57,10,True,Overdue Equipment
290,EQX1109,S010,OP105,2024-05-28,2024-06-03,1.17,6.97,5,True,Overdue Equipment
291,EQX1008,S010,OP127,2024-05-29,2024-06-03,5.49,2.28,23,False,
292,EQX1053,S005,OP140,2024-05-29,2024-06-03,1.81,6.89,21,False,
293,EQX1065,S001,OP143,2024-05-29,2024-06-17,8.24,2.06,5,True,Overdue Equipment
294,EQX1105,S002,OP139,2024-05-29,2024-06-24,2.76,7.0,13,True,Overdue Equipment
295,EQX1019,S002,OP129,2024-05-30,2024-06-03,1.88,7.87,31,False,Under-utilised
296,EQX1022,S005,OP113,2024-05-30,2024-07-08,5.2,3.22,39,False,
297,EQX1058,S005,OP123,2024-05-30,2024-06-17,4.92,3.87,24,False,
298,EQX1114,S001,OP129,2024-05-30,2024-06-17,5.76,4.09,8,True,Overdue Equipment
299,EQX1021,S008,OP137,2024-06-04,2024-06-17,7.22,1.62,20,False,
300,EQX1035,S002,OP122,2024-06-04,2024-06-10,7.12,2.0,15,False,
301,EQX1040,S002,OP114,2024-06-04,2024-06-17,8.33,0.57,32,False,
302,EQX1044,S002,OP107,2024-06-04,2024-06-24,7.67,2.43,14,True,Overdue Equipment
303,EQX1059,S009,OP143,2024-06-04,2024-06-17,4.94,3.03,27,False,
304,EQX1064,S004,OP118,2024-06-04,2024-06-10,5.86,2.67,13,False,
305,EQX1089,S005,OP125,2024-06-04,2024-06-10,7.99,1.79,29,False,
306,EQX1048,S004,OP103,2024-06-05,2024-06-10,2.06,8.12,25,False,High Idle Time
307,EQX1072,S007,OP110,2024-06-05,2024-06-10,5.7,3.59,21,False,
308,EQX1073,S007,OP103,2024-06-05,2024-06-10,6.8,2.86,6,False,
309,EQX1095,S001,OP106,2024-06-05,2024-06-10,5.68,4.13,29,False,
