event_date,site_id,equipment_id,equipment_type,event_type
2024-02-12,S009,EQX1108,Roller,Rental End
2024-02-13,S001,EQX1092,Loader,Rental Start
2024-02-13,S002,EQX1093,Loader,Rental Start
2024-02-13,S003,EQX1049,Grader,Rental Start
2024-02-13,S004,EQX1062,Grader,Rental Start
2024-02-13,S005,EQX1033,Bulldozer,Rental Start
2024-02-13,S008,EQX1036,Bulldozer,Rental Start
2024-02-13,S008,EQX1043,Bulldozer,Rental Start
2024-02-13,S008,EQX1111,Roller,Rental Start
2024-02-14,S003,EQX1084,Loader,Rental Start
2024-02-14,S005,EQX1045,Bulldozer,Rental Start
2024-02-14,S006,EQX1024,Excavator,Rental Start
2024-02-14,S010,EQX1103,Roller,Rental Start
2024-02-15,S001,EQX1028,Excavator,Rental Start
2024-02-15,S002,EQX1047,Bulldozer,Rental Start
2024-02-15,S002,EQX1074,Crane,Rental Start
2024-02-15,S004,EQX1113,Roller,Rental Start
2024-02-15,S008,EQX1031,Bulldozer,Rental Start
2024-02-15,S009,EQX1037,Bulldozer,Rental Start
2024-02-15,S009,EQX1054,Grader,Rental Start
2024-02-15,S010,EQX1038,Bulldozer,Rental Start
2024-02-15,S010,EQX1065,Crane,Rental Start
2024-02-19,S001,EQX1016,Excavator,Rental End
2024-02-19,S002,EQX1039,Bulldozer,Rental End
2024-02-19,S003,EQX1049,Grader,Rental End
2024-02-19,S003,EQX1084,Loader,Rental End
2024-02-19,S008,EQX1036,Bulldozer,Rental End
2024-02-19,S009,EQX1014,Excavator,Rental End
2024-02-19,S009,EQX1054,Grader,Rental End
2024-02-19,S010,EQX1065,Crane,Rental End
2024-02-19,S010,EQX1103,Roller,Rental End
2024-02-20,S002,EQX1068,Crane,Rental Start
2024-02-20,S004,EQX1034,Bulldozer,Rental Start
2024-02-20,S004,EQX1041,Bulldozer,Rental Start
2024-02-20,S004,EQX1099,Loader,Rental Start
2024-02-20,S005,EQX1107,Roller,Rental Start
2024-02-20,S006,EQX1042,Bulldozer,Rental Start
2024-02-20,S009,EQX1067,Crane,Rental Start
2024-02-20,S009,EQX1088,Loader,Rental Start
2024-02-20,S009,EQX1112,Roller,Rental Start
2024-02-20,S010,EQX1060,Grader,Rental Start
2024-02-21,S002,EQX1119,Roller,Rental Start
2024-02-21,S004,EQX1109,Roller,Rental Start
2024-02-21,S008,EQX1106,Roller,Rental Start
2024-02-21,S009,EQX1044,Bulldozer,Rental Start
2024-02-21,S010,EQX1064,Grader,Rental Start
2024-02-22,S004,EQX1023,Excavator,Rental Start
2024-02-22,S005,EQX1004,Excavator,Rental Start
2024-02-22,S005,EQX1052,Grader,Rental Start
2024-02-22,S006,EQX1029,Bulldozer,Rental Start
2024-02-22,S006,EQX1032,Bulldozer,Rental Start
2024-02-22,S006,EQX1001,Excavator,Rental Start
2024-02-22,S008,EQX1084,Loader,Rental Start
2024-02-26,S002,EQX1047,Bulldozer,Rental End
2024-02-26,S002,EQX1074,Crane,Rental End
2024-02-26,S004,EQX1099,Loader,Rental End
2024-02-26,S004,EQX1113,Roller,Rental End
2024-02-26,S005,EQX1033,Bulldozer,Rental End
2024-02-26,S006,EQX1042,Bulldozer,Rental End
2024-02-26,S006,EQX1029,Bulldozer,Rental End
2024-02-26,S006,EQX1032,Bulldozer,Rental End
2024-02-26,S007,EQX1095,Loader,Rental End
2024-02-26,S008,EQX1043,Bulldozer,Rental End
2024-02-26,S008,EQX1053,Grader,Rental End
2024-02-26,S008,EQX1084,Loader,Rental End
2024-02-26,S008,EQX1111,Roller,Rental End
2024-02-26,S009,EQX1088,Loader,Rental End
2024-02-26,S009,EQX1112,Roller,Rental End
2024-02-26,S010,EQX1060,Grader,Rental End
2024-02-26,S010,EQX1081,Loader,Rental End
2024-02-27,S001,EQX1027,Excavator,Rental Start
2024-02-28,S006,EQX1015,Excavator,Rental Start
2024-02-28,S006,EQX1059,Grader,Rental Start
2024-02-28,S009,EQX1077,Crane,Rental Start
2024-02-29,S004,EQX1050,Grader,Rental Start
2024-02-29,S005,EQX1079,Crane,Rental Start
2024-02-29,S007,EQX1111,Roller,Rental Start
2024-02-29,S009,EQX1072,Crane,Rental Start
2024-03-04,S001,EQX1118,Roller,Rental End
2024-03-04,S002,EQX1097,Loader,Rental End
2024-03-04,S002,EQX1119,Roller,Rental End
2024-03-04,S004,EQX1023,Excavator,Rental End
2024-03-04,S004,EQX1062,Grader,Rental End
2024-03-04,S004,EQX1050,Grader,Rental End
2024-03-04,S005,EQX1045,Bulldozer,Rental End
2024-03-04,S005,EQX1079,Crane,Rental End
2024-03-04,S005,EQX1107,Roller,Rental End
2024-03-04,S006,EQX1059,Grader,Rental End
2024-03-04,S007,EQX1111,Roller,Rental End
2024-03-04,S008,EQX1106,Roller,Rental End
2024-03-04,S009,EQX1037,Bulldozer,Rental End
2024-03-04,S009,EQX1044,Bulldozer,Rental End
2024-03-04,S009,EQX1067,Crane,Rental End
2024-03-04,S009,EQX1077,Crane,Rental End
2024-03-04,S009,EQX1072,Crane,Rental End
2024-03-04,S010,EQX1017,Excavator,Rental End
2024-03-05,S001,EQX1070,Crane,Rental Start
2024-03-05,S002,EQX1036,Bulldozer,Rental Start
2024-03-05,S002,EQX1050,Grader,Rental Start
2024-03-05,S003,EQX1018,Excavator,Rental Start
2024-03-05,S005,EQX1091,Loader,Rental Start
2024-03-05,S006,EQX1110,Roller,Rental Start
2024-03-05,S007,EQX1096,Loader,Rental Start
2024-03-05,S008,EQX1055,Grader,Rental Start
2024-03-05,S010,EQX1054,Grader,Rental Start
2024-03-06,S002,EQX1005,Excavator,Rental Start
2024-03-06,S006,EQX1118,Roller,Rental Start
2024-03-06,S009,EQX1057,Grader,Rental Start
2024-03-06,S009,EQX1114,Roller,Rental Start
2024-03-07,S001,EQX1047,Bulldozer,Rental Start
2024-03-07,S006,EQX1045,Bulldozer,Rental Start
2024-03-07,S008,EQX1078,Crane,Rental Start
2024-03-11,S001,EQX1028,Excavator,Rental End
2024-03-11,S001,EQX1027,Excavator,Rental End
2024-03-11,S001,EQX1092,Loader,Rental End
2024-03-11,S002,EQX1068,Crane,Rental End
2024-03-11,S003,EQX1040,Bulldozer,Rental End
2024-03-11,S003,EQX1018,Excavator,Rental End
2024-03-11,S004,EQX1034,Bulldozer,Rental End
2024-03-11,S004,EQX1041,Bulldozer,Rental End
2024-03-11,S005,EQX1004,Excavator,Rental End
2024-03-11,S005,EQX1052,Grader,Rental End
2024-03-11,S005,EQX1091,Loader,Rental End
2024-03-11,S006,EQX1045,Bulldozer,Rental End
2024-03-11,S006,EQX1024,Excavator,Rental End
2024-03-11,S006,EQX1110,Roller,Rental End
2024-03-11,S006,EQX1118,Roller,Rental End
2024-03-11,S007,EQX1096,Loader,Rental End
2024-03-11,S008,EQX1031,Bulldozer,Rental End
2024-03-11,S008,EQX1078,Crane,Rental End
2024-03-11,S010,EQX1038,Bulldozer,Rental End
2024-03-11,S010,EQX1064,Grader,Rental End
2024-03-11,S010,EQX1054,Grader,Rental End
2024-03-12,S004,EQX1060,Grader,Rental Start
2024-03-12,S008,EQX1120,Roller,Rental Start
2024-03-13,S009,EQX1082,Loader,Rental Start
2024-03-13,S009,EQX1094,Loader,Rental Start
2024-03-14,S003,EQX1049,Grader,Rental Start
2024-03-14,S005,EQX1032,Bulldozer,Rental Start
2024-03-14,S008,EQX1054,Grader,Rental Start
2024-03-14,S008,EQX1059,Grader,Rental Start
2024-03-14,S010,EQX1101,Loader,Rental Start
2024-03-14,S010,EQX1104,Roller,Rental Start
2024-03-18,S001,EQX1047,Bulldozer,Rental End
2024-03-18,S001,EQX1070,Crane,Rental End
2024-03-18,S002,EQX1036,Bulldozer,Rental End
2024-03-18,S002,EQX1050,Grader,Rental End
2024-03-18,S003,EQX1049,Grader,Rental End
2024-03-18,S006,EQX1001,Excavator,Rental End
2024-03-18,S009,EQX1057,Grader,Rental End
2024-03-18,S010,EQX1101,Loader,Rental End
2024-03-18,S010,EQX1104,Roller,Rental End
2024-03-19,S004,EQX1012,Excavator,Rental Start
2024-03-19,S005,EQX1002,Excavator,Rental Start
2024-03-20,S001,EQX1049,Grader,Rental Start
2024-03-20,S001,EQX1086,Loader,Rental Start
2024-03-20,S002,EQX1069,Crane,Rental Start
2024-03-20,S002,EQX1110,Roller,Rental Start
2024-03-20,S003,EQX1025,Excavator,Rental Start
2024-03-20,S003,EQX1083,Loader,Rental Start
2024-03-20,S004,EQX1019,Excavator,Rental Start
2024-03-20,S005,EQX1079,Crane,Rental Start
2024-03-21,S003,EQX1034,Bulldozer,Rental Start
2024-03-21,S003,EQX1107,Roller,Rental Start
2024-03-21,S004,EQX1036,Bulldozer,Rental Start
2024-03-21,S006,EQX1058,Grader,Rental Start
2024-03-21,S007,EQX1067,Crane,Rental Start
2024-03-21,S007,EQX1016,Excavator,Rental Start
2024-03-21,S007,EQX1089,Loader,Rental Start
2024-03-25,S001,EQX1049,Grader,Rental End
2024-03-25,S001,EQX1086,Loader,Rental End
2024-03-25,S002,EQX1005,Excavator,Rental End
2024-03-25,S002,EQX1093,Loader,Rental End
2024-03-25,S002,EQX1110,Roller,Rental End
2024-03-25,S003,EQX1025,Excavator,Rental End
2024-03-25,S003,EQX1083,Loader,Rental End
2024-03-25,S003,EQX1107,Roller,Rental End
2024-03-25,S004,EQX1012,Excavator,Rental End
2024-03-25,S004,EQX1060,Grader,Rental End
2024-03-25,S005,EQX1079,Crane,Rental End
2024-03-25,S006,EQX1058,Grader,Rental End
2024-03-25,S007,EQX1067,Crane,Rental End
2024-03-25,S008,EQX1055,Grader,Rental End
2024-03-25,S008,EQX1054,Grader,Rental End
2024-03-25,S008,EQX1120,Roller,Rental End
2024-03-25,S009,EQX1082,Loader,Rental End
2024-03-25,S009,EQX1114,Roller,Rental End
2024-03-26,S005,EQX1043,Bulldozer,Rental Start
2024-03-26,S005,EQX1062,Grader,Rental Start
2024-03-26,S006,EQX1083,Loader,Rental Start
2024-03-26,S007,EQX1084,Loader,Rental Start
2024-03-27,S006,EQX1012,Excavator,Rental Start
2024-03-27,S007,EQX1031,Bulldozer,Rental Start
2024-03-28,S002,EQX1035,Bulldozer,Rental Start
2024-03-28,S007,EQX1004,Excavator,Rental Start
2024-03-28,S007,EQX1100,Loader,Rental Start
2024-04-01,S002,EQX1035,Bulldozer,Rental End
2024-04-01,S004,EQX1019,Excavator,Rental End
2024-04-01,S004,EQX1109,Roller,Rental End
2024-04-01,S005,EQX1032,Bulldozer,Rental End
2024-04-01,S005,EQX1043,Bulldozer,Rental End
2024-04-01,S005,EQX1002,Excavator,Rental End
2024-04-01,S007,EQX1031,Bulldozer,Rental End
2024-04-01,S007,EQX1016,Excavator,Rental End
2024-04-01,S007,EQX1089,Loader,Rental End
2024-04-01,S007,EQX1084,Loader,Rental End
2024-04-01,S008,EQX1059,Grader,Rental End
2024-04-01,S009,EQX1094,Loader,Rental End
2024-04-02,S002,EQX1003,Excavator,Rental Start
2024-04-02,S003,EQX1016,Excavator,Rental Start
2024-04-02,S003,EQX1019,Excavator,Rental Start
2024-04-02,S003,EQX1057,Grader,Rental Start
2024-04-02,S004,EQX1058,Grader,Rental Start
2024-04-02,S006,EQX1081,Loader,Rental Start
2024-04-03,S002,EQX1074,Crane,Rental Start
2024-04-03,S005,EQX1108,Roller,Rental Start
2024-04-03,S006,EQX1070,Crane,Rental Start
2024-04-04,S001,EQX1013,Excavator,Rental Start
2024-04-04,S002,EQX1099,Loader,Rental Start
2024-04-04,S006,EQX1029,Bulldozer,Rental Start
2024-04-04,S006,EQX1079,Crane,Rental Start
2024-04-04,S006,EQX1080,Crane,Rental Start
2024-04-08,S002,EQX1003,Excavator,Rental End
2024-04-08,S003,EQX1034,Bulldozer,Rental End
2024-04-08,S003,EQX1057,Grader,Rental End
2024-04-08,S004,EQX1036,Bulldozer,Rental End
2024-04-08,S005,EQX1062,Grader,Rental End
2024-04-08,S005,EQX1108,Roller,Rental End
2024-04-08,S006,EQX1029,Bulldozer,Rental End
2024-04-08,S006,EQX1070,Crane,Rental End
2024-04-08,S006,EQX1079,Crane,Rental End
2024-04-08,S006,EQX1080,Crane,Rental End
2024-04-08,S006,EQX1015,Excavator,Rental End
2024-04-08,S006,EQX1083,Loader,Rental End
2024-04-09,S001,EQX1018,Excavator,Rental Start
2024-04-09,S001,EQX1113,Roller,Rental Start
2024-04-09,S004,EQX1027,Excavator,Rental Start
2024-04-09,S006,EQX1116,Roller,Rental Start
2024-04-09,S008,EQX1078,Crane,Rental Start
2024-04-10,S002,EQX1040,Bulldozer,Rental Start
2024-04-10,S004,EQX1118,Roller,Rental Start
2024-04-10,S008,EQX1091,Loader,Rental Start
2024-04-11,S004,EQX1079,Crane,Rental Start
2024-04-11,S005,EQX1021,Excavator,Rental Start
2024-04-11,S007,EQX1056,Grader,Rental Start
2024-04-11,S009,EQX1041,Bulldozer,Rental Start
2024-04-11,S010,EQX1048,Bulldozer,Rental Start
2024-04-15,S001,EQX1013,Excavator,Rental End
2024-04-15,S001,EQX1113,Roller,Rental End
2024-04-15,S002,EQX1040,Bulldozer,Rental End
2024-04-15,S002,EQX1069,Crane,Rental End
2024-04-15,S004,EQX1079,Crane,Rental End
2024-04-15,S004,EQX1058,Grader,Rental End
2024-04-15,S006,EQX1081,Loader,Rental End
2024-04-15,S006,EQX1116,Roller,Rental End
2024-04-15,S007,EQX1056,Grader,Rental End
2024-04-15,S008,EQX1091,Loader,Rental End
2024-04-15,S009,EQX1041,Bulldozer,Rental End
2024-04-15,S010,EQX1048,Bulldozer,Rental End
2024-04-16,S002,EQX1050,Grader,Rental Start
2024-04-16,S003,EQX1026,Excavator,Rental Start
2024-04-16,S006,EQX1060,Grader,Rental Start
2024-04-16,S009,EQX1020,Excavator,Rental Start
2024-04-16,S009,EQX1053,Grader,Rental Start
2024-04-16,S009,EQX1094,Loader,Rental Start
2024-04-17,S003,EQX1043,Bulldozer,Rental Start
2024-04-17,S004,EQX1005,Excavator,Rental Start
2024-04-18,S002,EQX1017,Excavator,Rental Start
2024-04-18,S009,EQX1110,Roller,Rental Start
2024-04-22,S001,EQX1018,Excavator,Rental End
2024-04-22,S002,EQX1017,Excavator,Rental End
2024-04-22,S004,EQX1027,Excavator,Rental End
2024-04-22,S004,EQX1118,Roller,Rental End
2024-04-22,S005,EQX1021,Excavator,Rental End
2024-04-22,S007,EQX1100,Loader,Rental End
2024-04-22,S008,EQX1078,Crane,Rental End
2024-04-22,S009,EQX1020,Excavator,Rental End
2024-04-22,S009,EQX1053,Grader,Rental End
2024-04-23,S002,EQX1105,Roller,Rental Start
2024-04-23,S008,EQX1029,Bulldozer,Rental Start
2024-04-23,S009,EQX1075,Crane,Rental Start
2024-04-24,S002,EQX1072,Crane,Rental Start
2024-04-24,S006,EQX1014,Excavator,Rental Start
2024-04-24,S006,EQX1101,Loader,Rental Start
2024-04-24,S010,EQX1047,Bulldozer,Rental Start
2024-04-25,S002,EQX1034,Bulldozer,Rental Start
2024-04-25,S004,EQX1037,Bulldozer,Rental Start
2024-04-25,S008,EQX1100,Loader,Rental Start
2024-04-25,S009,EQX1032,Bulldozer,Rental Start
2024-04-29,S002,EQX1034,Bulldozer,Rental End
2024-04-29,S002,EQX1074,Crane,Rental End
2024-04-29,S002,EQX1072,Crane,Rental End
2024-04-29,S002,EQX1050,Grader,Rental End
2024-04-29,S002,EQX1099,Loader,Rental End
2024-04-29,S002,EQX1105,Roller,Rental End
2024-04-29,S003,EQX1043,Bulldozer,Rental End
2024-04-29,S003,EQX1019,Excavator,Rental End
2024-04-29,S004,EQX1037,Bulldozer,Rental End
2024-04-29,S006,EQX1012,Excavator,Rental End
2024-04-29,S006,EQX1101,Loader,Rental End
2024-04-29,S007,EQX1004,Excavator,Rental End
2024-04-29,S008,EQX1029,Bulldozer,Rental End
2024-04-29,S008,EQX1100,Loader,Rental End
2024-04-29,S009,EQX1075,Crane,Rental End
2024-04-29,S010,EQX1047,Bulldozer,Rental End
2024-05-01,S007,EQX1073,Crane,Rental Start
2024-05-01,S009,EQX1057,Grader,Rental Start
2024-05-02,S001,EQX1111,Roller,Rental Start
2024-05-02,S003,EQX1109,Roller,Rental Start
2024-05-02,S005,EQX1058,Grader,Rental Start
2024-05-02,S008,EQX1116,Roller,Rental Start
2024-05-02,S009,EQX1018,Excavator,Rental Start
2024-05-06,S003,EQX1016,Excavator,Rental End
2024-05-06,S003,EQX1026,Excavator,Rental End
2024-05-06,S004,EQX1005,Excavator,Rental End
2024-05-06,S005,EQX1058,Grader,Rental End
2024-05-06,S006,EQX1014,Excavator,Rental End
2024-05-07,S001,EQX1081,Loader,Rental Start
2024-05-07,S003,EQX1063,Grader,Rental Start
2024-05-07,S005,EQX1016,Excavator,Rental Start
2024-05-07,S007,EQX1093,Loader,Rental Start
2024-05-07,S009,EQX1068,Crane,Rental Start
2024-05-07,S009,EQX1012,Excavator,Rental Start
2024-05-08,S001,EQX1069,Crane,Rental Start
2024-05-08,S002,EQX1084,Loader,Rental Start
2024-05-08,S003,EQX1108,Roller,Rental Start
2024-05-08,S004,EQX1042,Bulldozer,Rental Start
2024-05-08,S006,EQX1033,Bulldozer,Rental Start
2024-05-08,S006,EQX1047,Bulldozer,Rental Start
2024-05-08,S008,EQX1038,Bulldozer,Rental Start
2024-05-08,S009,EQX1089,Loader,Rental Start
2024-05-08,S010,EQX1025,Excavator,Rental Start
2024-05-09,S001,EQX1017,Excavator,Rental Start
2024-05-09,S003,EQX1072,Crane,Rental Start
2024-05-09,S004,EQX1088,Loader,Rental Start
2024-05-09,S007,EQX1045,Bulldozer,Rental Start
2024-05-09,S009,EQX1051,Grader,Rental Start
2024-05-09,S010,EQX1091,Loader,Rental Start
2024-05-13,S001,EQX1069,Crane,Rental End
2024-05-13,S001,EQX1111,Roller,Rental End
2024-05-13,S003,EQX1072,Crane,Rental End
2024-05-13,S003,EQX1063,Grader,Rental End
2024-05-13,S004,EQX1042,Bulldozer,Rental End
2024-05-13,S005,EQX1016,Excavator,Rental End
2024-05-13,S006,EQX1033,Bulldozer,Rental End
2024-05-13,S006,EQX1060,Grader,Rental End
2024-05-13,S007,EQX1045,Bulldozer,Rental End
2024-05-13,S008,EQX1038,Bulldozer,Rental End
2024-05-13,S008,EQX1116,Roller,Rental End
2024-05-13,S009,EQX1068,Crane,Rental End
2024-05-13,S009,EQX1057,Grader,Rental End
2024-05-13,S010,EQX1025,Excavator,Rental End
2024-05-14,S001,EQX1055,Grader,Rental Start
2024-05-14,S002,EQX1085,Loader,Rental Start
2024-05-14,S003,EQX1013,Excavator,Rental Start
2024-05-14,S004,EQX1061,Grader,Rental Start
2024-05-14,S009,EQX1033,Bulldozer,Rental Start
2024-05-15,S007,EQX1078,Crane,Rental Start
2024-05-15,S007,EQX1115,Roller,Rental Start
2024-05-15,S010,EQX1037,Bulldozer,Rental Start
2024-05-16,S001,EQX1011,Excavator,Rental Start
2024-05-16,S003,EQX1111,Roller,Rental Start
2024-05-16,S009,EQX1001,Excavator,Rental Start
2024-05-20,S001,EQX1017,Excavator,Rental End
2024-05-20,S001,EQX1011,Excavator,Rental End
2024-05-20,S001,EQX1055,Grader,Rental End
2024-05-20,S002,EQX1084,Loader,Rental End
2024-05-20,S003,EQX1109,Roller,Rental End
2024-05-20,S003,EQX1108,Roller,Rental End
2024-05-20,S003,EQX1111,Roller,Rental End
2024-05-20,S004,EQX1061,Grader,Rental End
2024-05-20,S004,EQX1088,Loader,Rental End
2024-05-20,S007,EQX1073,Crane,Rental End
2024-05-20,S010,EQX1037,Bulldozer,Rental End
